Modell,Prompt,Prompt_Laenge,Prompt_Woerter,Enthaelt_Ausfuehrlich_Schluesselwort,Enthaelt_Kurz_Schluesselwort,Energieverbrauch,Dauer (Sekunden)
Chatbot 1 lang,Was versteht man unter AI as a Service?,39,8,0,0,0.0004814074482216,65.03394818305969
Chatbot 2 kurz,Was versteht man unter AI as a Service?,39,8,0,0,3.020494508034682e-05,4.098047971725464
Chatbot 1 lang,Nenne die Hauptvorteile von Machine Learning in der Cloud.,58,9,0,0,0.0005391988574993,72.82768654823303
Chatbot 2 kurz,Nenne die Hauptvorteile von Machine Learning in der Cloud.,58,9,0,0,2.9849582433655177e-05,4.046623706817627
Chatbot 1 lang,Welche Herausforderungen gibt es bei KI-Ethik?,46,7,0,0,0.000678151441527,91.59405827522278
Chatbot 2 kurz,Welche Herausforderungen gibt es bei KI-Ethik?,46,7,0,0,2.64918352715572e-05,3.6014864444732666
Chatbot 1 lang,Wie funktioniert supervised learning?,37,4,0,0,0.0005338168424598,72.0912675857544
Chatbot 2 kurz,Wie funktioniert supervised learning?,37,4,0,0,2.645175139509823e-05,3.592719554901123
Chatbot 1 lang,Was ist der Unterschied zwischen klassischem Programmieren und ML?,66,9,0,0,0.0005111636391755,69.0538580417633
Chatbot 2 kurz,Was ist der Unterschied zwischen klassischem Programmieren und ML?,66,9,0,0,3.0237526887290086e-05,4.118054151535034
Chatbot 1 lang,Wofür wird Reinforcement Learning eingesetzt?,45,5,0,0,0.0005347327087991,72.21668148040771
Chatbot 2 kurz,Wofür wird Reinforcement Learning eingesetzt?,45,5,0,0,2.200047551204262e-05,3.0076003074646
Chatbot 1 lang,Was ist ein neuronales Netz?,28,5,0,0,0.0004702164968957,63.52650046348572
Chatbot 2 kurz,Was ist ein neuronales Netz?,28,5,0,0,2.6357870923652703e-05,3.576498985290528
Chatbot 1 lang,Erkläre Overfitting mit einem Beispiel.,39,5,1,0,0.000514422736478,69.47897672653198
Chatbot 2 kurz,Erkläre Overfitting mit einem Beispiel.,39,5,1,0,4.256103378023621e-05,5.772457599639893
Chatbot 1 lang,Wie kann man Daten für ML-Anwendungen vorverarbeiten?,53,8,0,0,0.0005896596670908,79.65116095542908
