Prompt,EnergyMeasured
Was ist Künstliche Intelligenz?,0.00034798447979241816
Nenne drei Vorteile von AI im Alltag.,0.00012864983995460516
Wie funktioniert ein neuronales Netz?,0.0004639079160070902
Erkläre den Begriff Machine Learning,0.00043818504862792667
Was sind Large Language Models?,0.00028043579594261455
Was unterscheidet überwacht und unüberwacht Lernen?,0.00043890130065922105
Wie kann KI Energieverbrauch reduzieren?,0.0005030340607793499
Nenne Risiken beim Einsatz von KI.,0.000521886141365824
Was versteht man unter Natural Language Processing?,0.0002852518322971928
Welche Programmiersprachen eignen sich für KI-Entwicklung?,0.00044181584043267395
