Modell,Prompt,Prompt_Laenge,Prompt_Woerter,Enthaelt_Ausfuehrlich_Schluesselwort,Enthaelt_Kurz_Schluesselwort,Anzahl_Sonderzeichen,Anzahl_Zahlen,Energieverbrauch,Dauer (Sekunden)
Chatbot 1 lang,"Erörtere, was versteht man unter AI as a Service?",49,9,1,0,2,0,0.0002879690794412627,38.969959020614624
Chatbot 2 kurz,Was versteht man unter AI as a Service? (knapp),47,9,0,1,3,0,3.3197700767040845e-05,4.516157150268555
Chatbot 1 lang,Nenne die Hauptvorteile von Machine Learning in der Cloud. (ausführliche erklärung),83,11,1,0,3,0,0.0004761485084976667,64.33185720443726
Chatbot 2 kurz,Nenne die Hauptvorteile von Machine Learning in der Cloud. (so knapp wie möglich),81,13,0,1,3,0,5.3645237625222314e-05,7.30256462097168
Chatbot 1 lang,Welche Herausforderungen gibt es bei KI-Ethik? (beantworte ausführlich),71,9,1,0,4,0,0.0006915635698699869,93.42661595344543
Chatbot 2 kurz,Welche Herausforderungen gibt es bei KI-Ethik? (so kurz wie möglich),68,11,0,1,4,0,3.804557205495826e-05,5.199717998504639
Chatbot 1 lang,Wie funktioniert supervised learning? (erklären sie),52,6,1,0,3,0,0.0002777126757134992,37.526268005371094
Chatbot 2 kurz,Wie funktioniert supervised learning? (eine zeile),50,6,0,1,3,0,6.492053657215377e-05,8.839714765548706
Chatbot 1 lang,Was ist der Unterschied zwischen klassischem Programmieren und ML? (mit hintergrundwissen),90,11,1,0,3,0,0.0004691846489532753,63.39743638038635
Chatbot 2 kurz,Was ist der Unterschied zwischen klassischem Programmieren und ML? (kurz und bündig),84,12,0,1,3,0,5.960263361877821e-05,8.074424982070923
Chatbot 1 lang,Wofür wird Reinforcement Learning eingesetzt? (mit hintergrundwissen),69,7,1,0,3,0,0.0004416779662679445,59.675604820251465
Chatbot 2 kurz,Wofür wird Reinforcement Learning eingesetzt? (in kurzform),59,7,0,1,3,0,3.6914576689861134e-05,5.018720865249634
Chatbot 1 lang,Was ist ein neuronales Netz? (ausführlich),42,6,1,0,3,0,0.0006643770374588346,89.76820635795593
Chatbot 2 kurz,Was ist ein neuronales Netz? (kurze antwort),44,7,0,1,3,0,3.6275579837054836e-05,4.942476987838745
Chatbot 1 lang,Erkläre Overfitting mit einem Beispiel. (mit hintergrundwissen),63,7,1,0,3,0,0.00038568775176452905,52.103644609451294
Chatbot 2 kurz,Erkläre Overfitting mit einem Beispiel. (kurze antwort),55,7,1,1,3,0,4.300736548799982e-05,5.854530572891235
Chatbot 1 lang,Wie kann man Daten für ML-Anwendungen vorverarbeiten? (in eigenen worten),73,11,1,0,4,0,0.000461559685604307,62.359522104263306
Chatbot 2 kurz,Wie kann man Daten für ML-Anwendungen vorverarbeiten? (in einem satz),69,11,0,1,4,0,3.85630113606253e-05,5.2370781898498535
Chatbot 1 lang,Nennen Welche Bedeutung haben GPUs für KI?,42,7,1,0,1,0,0.00023417098837984592,31.666391134262085
Chatbot 2 kurz,Welche Bedeutung haben GPUs für KI? (kurze antwort),51,8,0,1,3,0,3.3403202445610926e-05,4.533409357070923
Chatbot 1 lang,"Erörtere, was ist Transfer Learning?",36,5,1,0,2,0,0.00033848371874924864,45.74072289466858
Chatbot 2 kurz,Was ist Transfer Learning? (in kurzform),40,6,0,1,3,0,2.8768360514084477e-05,3.9086101055145264
Chatbot 1 lang,Erörtere Nenne bekannte Anbieter von AIaaS.,43,6,1,0,1,0,0.0005090016202014748,68.7590184211731
Chatbot 2 kurz,Nenne bekannte Anbieter von AIaaS. (kurz beschreiben),53,7,1,1,3,0,0.00017653580045387288,23.888150930404663
Chatbot 1 lang,"Beschreibe, wie lässt sich KI für die Automatisierung nutzen?",61,9,1,0,2,0,0.00038703730586944047,52.29544973373413
Chatbot 2 kurz,Wie lässt sich KI für die Automatisierung nutzen? (kurz zusammengefasst),72,10,0,1,3,0,9.626854942891525e-05,13.042344808578491
Chatbot 1 lang,Was sind Biases in ML-Modellen? (in eigenen worten),51,9,1,0,4,0,0.00032400631960393024,43.77874279022217
Chatbot 2 kurz,Was sind Biases in ML-Modellen? (stichpunktartig),49,7,0,1,4,0,0.0001842555115704597,24.933162212371826
Chatbot 1 lang,"Erläutere, was ist ein Hyperparameter in ML?",44,7,1,0,2,0,0.00025415776959925035,34.35472536087036
Chatbot 2 kurz,Was ist ein Hyperparameter in ML? (kurz zusammengefasst),56,8,0,1,3,0,4.996635786703981e-05,6.792975664138794
Chatbot 1 lang,"Erläutere, wie funktioniert Feature Engineering?",48,5,1,0,2,0,0.0005246291764968901,70.84539246559143
Chatbot 2 kurz,Wie funktioniert Feature Engineering? (in kurzform),51,6,0,1,3,0,4.403658360561147e-05,5.974006414413452
Chatbot 1 lang,"Beschreibe, was ist die Rolle von APIs im Kontext von AIaaS?",60,11,1,0,2,0,0.00031018550450308345,41.92689609527588
Chatbot 2 kurz,Was ist die Rolle von APIs im Kontext von AIaaS? (in drei worten),65,13,0,1,3,0,2.6045503775432163e-05,3.5581154823303223
Chatbot 1 lang,Wie wird Natural Language Processing in der Industrie eingesetzt? (liefere details),83,11,1,0,3,0,0.0004524476244598045,61.13970756530762
Chatbot 2 kurz,Wie wird Natural Language Processing in der Industrie eingesetzt? (knapp),73,10,0,1,3,0,3.5428723225182386e-05,4.834490060806274
Chatbot 1 lang,Erörtere Welche Programmiersprachen sind am wichtigsten für KI?,63,8,1,0,1,0,0.0003537427303639592,47.81258296966553
Chatbot 2 kurz,Welche Programmiersprachen sind am wichtigsten für KI? (nur das wichtigste),75,10,0,1,3,0,8.32488012790416e-05,11.290678977966309
Chatbot 1 lang,Erkläre den Begriff Big Data. (in eigenen worten),49,8,1,0,3,0,0.00021190978867723537,28.65035319328308
Chatbot 2 kurz,Erkläre den Begriff Big Data. (kurz),36,6,1,1,3,0,3.28658277089854e-05,4.479262351989746
Chatbot 1 lang,"Nennen, was sind die Risiken von generativer KI?",48,8,1,0,2,0,0.00035028622963917915,47.329736948013306
Chatbot 2 kurz,Was sind die Risiken von generativer KI? (in einem satz),56,10,0,1,3,0,3.968083093505602e-05,5.397611618041992
Chatbot 1 lang,Wie kann man ML-Modelle überwachen? (ausführlich),49,7,1,0,4,0,0.0006441531637530082,87.01477217674255
Chatbot 2 kurz,Wie kann man ML-Modelle überwachen? (nur das wichtigste),56,9,0,1,4,0,0.00040678251537117223,54.95291185379028
Chatbot 1 lang,Was ist Explainable AI (XAI)? (begründe),40,6,1,0,5,0,0.0003239668304327502,43.77363729476929
Chatbot 2 kurz,Was ist Explainable AI (XAI)? (stichpunkte),43,6,0,1,5,0,0.0001373722476614709,18.594045400619507
Chatbot 1 lang,"Erläutere, wie funktioniert ein Decision Tree?",46,6,1,0,2,0,0.0003993676521905454,53.960153102874756
Chatbot 2 kurz,Wie funktioniert ein Decision Tree? (stichpunktartig),53,6,0,1,3,0,0.0002179980368688325,29.4672372341156
Chatbot 1 lang,Erkläre Data Augmentation. (mit beispiel),41,5,1,0,3,0,0.0003283926328242203,44.381343603134155
Chatbot 2 kurz,Erkläre Data Augmentation. (in wenigen worten),46,6,1,1,3,0,3.23538772579024e-05,4.401500463485718
Chatbot 1 lang,Welche Cloud-Plattformen bieten KI-Dienste? (mit hintergrundwissen),67,8,1,0,5,0,0.00046781288514590017,63.19923710823059
Chatbot 2 kurz,Welche Cloud-Plattformen bieten KI-Dienste? (knapp),51,7,0,1,5,0,3.682454455415294e-05,5.012387275695801
Chatbot 1 lang,Wie kann man Deep Learning effizient trainieren? (in eigenen worten),68,10,1,0,3,0,0.0003597307131504726,48.60340332984924
Chatbot 2 kurz,Wie kann man Deep Learning effizient trainieren? (nur das wichtigste),69,10,0,1,3,0,0.00037785588589917874,51.06576657295227
Chatbot 1 lang,Was sind Use Cases für KI im Gesundheitswesen? (beantworte ausführlich),71,10,1,0,3,0,0.0005246541775046521,70.87916707992554
Chatbot 2 kurz,Was sind Use Cases für KI im Gesundheitswesen? (maximal ein satz),65,11,0,1,3,0,4.0499743488777535e-05,5.512284994125366
Chatbot 1 lang,"Erläutere, wie funktioniert ein Recommendation System?",54,6,1,0,2,0,0.00036974591531697043,49.97585415840149
Chatbot 2 kurz,Wie funktioniert ein Recommendation System? (stichpunkte),57,6,0,1,3,0,0.0002587296101255947,34.97283959388733
Chatbot 1 lang,Was ist unsupervised learning? (mit beispiel),45,6,1,0,3,0,0.00020794577535723966,28.113092184066772
Chatbot 2 kurz,Was ist unsupervised learning? (prägnant),41,5,0,1,3,0,3.2680589607471494e-05,4.456106662750244
Chatbot 1 lang,Was ist ein Random Forest? (ausführliche erklärung),51,7,1,0,3,0,0.00047506643007550934,64.18449878692627
Chatbot 2 kurz,Was ist ein Random Forest? (in einem satz),42,8,0,1,3,0,3.436172142837393e-05,4.674072265625
Chatbot 1 lang,Wie erkennt man Anomalien mit ML? (erklären sie),48,8,1,0,3,0,0.0004582702565337366,61.905847787857056
Chatbot 2 kurz,Wie erkennt man Anomalien mit ML? (so kurz wie möglich),55,10,0,1,3,0,3.225722854978998e-05,4.390190362930298
Chatbot 1 lang,Beschreibe Welche Rolle spielt Data Privacy bei AIaaS?,54,8,1,0,1,0,0.0003819740497901243,51.61998271942139
Chatbot 2 kurz,Welche Rolle spielt Data Privacy bei AIaaS? (kurz zusammengefasst),66,9,0,1,3,0,7.483713533376372e-05,10.148876905441284
Chatbot 1 lang,Wie funktioniert der Turing-Test? (liefere details),51,7,1,0,4,0,0.0005487169112386109,74.11887502670288
Chatbot 2 kurz,Wie funktioniert der Turing-Test? (stichpunktartig),51,6,0,1,4,0,0.00024868328011131975,33.60717725753784
Chatbot 1 lang,Erkläre Computer Vision. (genau),32,4,1,0,3,0,0.0003067435144812678,41.460301876068115
Chatbot 2 kurz,Erkläre Computer Vision. (in kurzform),38,5,1,1,3,0,3.05807626256511e-05,4.165660619735718
Chatbot 1 lang,"Erläutere, wie kann man Modelle gegen Angriffe absichern?",57,8,1,0,2,0,0.0005758697058712054,77.81560015678406
Chatbot 2 kurz,Wie kann man Modelle gegen Angriffe absichern? (in wenigen worten),66,10,0,1,3,0,3.490351814794568e-05,4.746527194976807
Chatbot 1 lang,Was ist ein Pretrained Model? (begründe),40,6,1,0,3,0,0.00027389832653745746,37.03496170043945
Chatbot 2 kurz,Was ist ein Pretrained Model? (kurz beschreiben),48,7,1,1,3,0,6.14935661389971e-05,8.348389148712158
Chatbot 1 lang,Wie funktioniert Federated Learning? (erklären sie),51,6,1,0,3,0,0.0003139053953276906,42.42727065086365
Chatbot 2 kurz,Wie funktioniert Federated Learning? (kurz zusammengefasst),59,6,0,1,3,0,0.00010202879078168255,13.820091724395752
Chatbot 1 lang,Was ist die Rolle von Open Source in KI? (ausführliche erklärung),65,11,1,0,3,0,0.00046398737561632674,62.679280042648315
Chatbot 2 kurz,Was ist die Rolle von Open Source in KI? (stichpunktartig),58,10,0,1,3,0,0.0001628199298823056,22.015987157821655
Chatbot 1 lang,Wie werden ML-Modelle in Produktion gebracht? (mit beispiel),60,9,1,0,4,0,0.0003863549135206694,52.205992698669434
Chatbot 2 kurz,Wie werden ML-Modelle in Produktion gebracht? (kurz erklären),61,9,1,1,4,0,0.000150341397397435,20.34021234512329
